simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
83,13,ebook_second,21.995000000000005,6.839999999999975,1.9800000000000182,0.0,None,500
93,1,ebook_second,23.11,6.885000000000002,3.5,66.59999999999997,None,500
93,2,ebook_second,22.994999999999997,7.000000000000007,3.0650000000000013,59.69999999999985,Book,500
93,3,ebook_second,22.620000000000005,7.375,3.030000000000001,37.20000000000027,Book,500
93,4,ebook_second,22.409999999999997,7.585000000000008,2.5400000000000063,24.599999999999795,Book,500
93,5,ebook_second,22.25,7.700000000000003,2.180000000000007,15.0,Book,500
93,6,ebook_second,22.11500000000001,7.659999999999997,1.9150000000000063,6.900000000000546,Book,500
93,7,ebook_second,22.064999999999998,7.435000000000002,1.7150000000000034,3.8999999999998636,None,500
93,8,ebook_second,22.25,7.694999999999993,1.460000000000008,15.0,eBook,500
93,9,ebook_second,22.36500000000001,7.6299999999999955,1.9800000000000182,21.900000000000546,eBook,500
93,10,ebook_second,22.375,7.6200000000000045,1.9749999999999943,22.5,eBook,500
93,11,ebook_second,22.375,7.6200000000000045,1.9800000000000182,22.5,eBook,500
93,12,ebook_second,22.375,7.6200000000000045,1.9800000000000182,22.5,eBook,500
93,13,ebook_second,22.285000000000025,7.435000000000002,1.9850000000000136,17.1000000000015,None,500
87,1,ebook_second,22.255,7.09,3.5,15.29999999999994,None,500
87,2,ebook_second,21.994999999999997,7.3600000000000065,3.0600000000000023,0.0,Book,500
87,3,ebook_second,21.995000000000005,7.24499999999999,3.030000000000001,0.0,Book,500
87,4,ebook_second,21.995000000000005,7.159999999999997,2.5400000000000063,0.0,Book,500
87,5,ebook_second,21.995000000000005,7.090000000000003,2.180000000000007,0.0,Book,500
87,6,ebook_second,21.995000000000005,7.030000000000001,1.9150000000000063,0.0,Book,500
87,7,ebook_second,21.995000000000005,6.780000000000001,1.7150000000000034,0.0,None,500
87,8,ebook_second,21.995000000000005,7.064999999999998,1.460000000000008,0.0,eBook,500
87,9,ebook_second,21.995000000000005,7.055000000000007,1.9800000000000182,0.0,eBook,500
87,10,ebook_second,21.995000000000005,7.060000000000002,1.9749999999999943,0.0,eBook,500
87,11,ebook_second,21.995000000000005,7.060000000000002,1.9800000000000182,0.0,eBook,500
87,12,ebook_second,21.995000000000005,7.060000000000002,1.9800000000000182,0.0,eBook,500
87,13,ebook_second,21.995000000000005,6.8349999999999795,1.9800000000000182,0.0,None,500
78,1,ebook_second,21.995,6.75,3.5,0.0,None,500
78,2,ebook_second,21.994999999999997,7.010000000000005,3.0600000000000023,0.0,Book,500
78,3,ebook_second,21.995000000000005,6.894999999999996,3.030000000000001,0.0,Book,500
78,4,ebook_second,21.995000000000005,6.825000000000003,2.5400000000000063,0.0,Book,500
78,5,ebook_second,21.995000000000005,6.760000000000005,2.180000000000007,0.0,Book,500
78,6,ebook_second,21.995000000000005,6.710000000000008,1.9150000000000063,0.0,Book,500
