simulation_idx,mu,Delta,chi,p,k,tauc,forced_wakeup_light_threshold,sleep_duration,sleep_onset,sleep_offset,dlmo,x_f,xc_f,n_f,H_f,S_f
69,19.0,6.0,11.0,0.6,0.625,24.4,0.5,7.410000000000025,310.585,317.995,20.754999999999995,-0.6608676726098899,-0.881911151107819,0.15996243827183032,14.677159566146857,1.0
82,19.0,6.0,11.0,0.6499999999999999,0.475,24.1,0.5,7.529999999999973,310.46500000000003,317.995,20.420000000000016,-0.7101152011351454,-0.8209512799590813,0.15553772802775026,14.472656243778722,1.0
96,19.0,6.0,11.0,0.6499999999999999,0.7,23.95,0.5,7.574999999999989,309.995,317.57,19.735000000000014,-0.8179231153043741,-0.6753217299701809,0.15553772802775026,13.850919140833488,1.0
70,19.0,6.0,11.0,0.6,0.7,23.8,0.5,7.40500000000003,309.995,317.40000000000003,19.41500000000002,-0.8479405402407018,-0.6002385152995121,0.15996243827183032,13.912466380211265,1.0
64,19.0,6.0,11.0,0.6,0.55,24.4,0.5,7.34499999999997,310.65000000000003,317.995,20.879999999999995,-0.6320860702163376,-0.9023965028338221,0.15996243827183032,14.796613448391035,1.0
58,19.0,6.0,11.0,0.6,0.475,24.25,0.5,7.404999999999973,310.59000000000003,317.995,20.715000000000032,-0.6583072124069561,-0.8752034143873545,0.15996243827183032,14.68582602674391,1.0
59,19.0,6.0,11.0,0.6,0.475,24.4,0.5,7.269999999999982,310.725,317.995,21.004999999999995,-0.601138091869761,-0.9222822992921148,0.15996243827183032,14.918583602396826,1.0
65,19.0,6.0,11.0,0.6,0.625,23.8,0.5,7.475000000000023,309.995,317.47,19.545000000000016,-0.8343861674725179,-0.6344103157737517,0.15996243827183032,13.88723854174228,1.0
71,19.0,6.0,11.0,0.6,0.7,23.95,0.5,7.579999999999984,309.995,317.575,19.745000000000005,-0.8167677796702382,-0.6786420229475539,0.15996243827183032,13.849094485824294,1.0
98,19.0,6.0,11.0,0.6499999999999999,0.7,24.25,0.5,7.589999999999975,310.40500000000003,317.995,20.360000000000014,-0.7328557427599672,-0.8079762025998742,0.15553772802775026,14.37123815111268,1.0
67,19.0,6.0,11.0,0.6,0.625,24.1,0.5,7.660000000000025,310.335,317.995,20.180000000000007,-0.7578739726520765,-0.7734999538381016,0.15996243827183032,14.253614098863736,1.0
73,19.0,6.0,11.0,0.6,0.7,24.25,0.5,7.59499999999997,310.40000000000003,317.995,20.355000000000018,-0.7353220705501344,-0.807593806225928,0.15996243827183032,14.362811587275818,1.0
72,19.0,6.0,11.0,0.6,0.7,24.1,0.5,7.670000000000016,310.24,317.91,20.060000000000002,-0.7788770966971248,-0.747018505685994,0.15996243827183032,14.127283447057673,1.0
66,19.0,6.0,11.0,0.6,0.625,23.95,0.5,7.615000000000009,310.075,317.69,19.870000000000005,-0.7993911039717274,-0.7081564360920806,0.15996243827183032,13.937293110779231,1.0
99,19.0,6.0,11.0,0.6499999999999999,0.7,24.4,0.5,7.464999999999975,310.53000000000003,317.995,20.65500000000003,-0.6831106790439547,-0.8623480504170157,0.15553772802775026,14.583248355169731,1.0
89,19.0,6.0,11.0,0.6499999999999999,0.55,24.4,0.5,7.329999999999984,310.665,317.995,20.894999999999982,-0.6268998520842006,-0.9037426525126481,0.15553772802775026,14.81473980027143,1.0
62,19.0,6.0,11.0,0.6,0.55,24.1,0.5,7.59499999999997,310.40000000000003,317.995,20.30000000000001,-0.7354203379725432,-0.798363970288826,0.15996243827183032,14.355242877214193,1.0
76,19.0,6.0,11.0,0.6499999999999999,0.4,23.95,0.5,7.605000000000018,310.39,317.995,20.230000000000018,-0.7371237890263521,-0.7851550508859312,0.15553772802775026,14.345969946020439,1.0
77,19.0,6.0,11.0,0.6499999999999999,0.4,24.1,0.5,7.464999999999975,310.53000000000003,317.995,20.545000000000016,-0.6837924278415521,-0.8439997304472145,0.15553772802775026,14.583151903870787,1.0
63,19.0,6.0,11.0,0.6,0.55,24.25,0.5,7.46999999999997,310.52500000000003,317.995,20.590000000000032,-0.6858776779449476,-0.8534521476634911,0.15996243827183032,14.574629037487496,1.0
88,19.0,6.0,11.0,0.6499999999999999,0.55,24.25,0.5,7.4599999999999795,310.535,317.995,20.600000000000023,-0.6829391949529752,-0.8536558208206853,0.15553772802775026,14.584016474046159,1.0
49,19.0,6.0,11.0,0.55,0.7,24.4,0.5,7.485000000000014,310.51,317.995,20.625,-0.6917130854030173,-0.8593523537345983,0.16413461883655128,14.549083670203666,1.0
75,19.0,6.0,11.0,0.6499999999999999,0.4,23.8,0.5,7.590000000000032,310.13,317.72,19.90500000000003,-0.7847449466106787,-0.7188477098932554,0.15553772802775026,14.016411016899632,1.0
61,19.0,6.0,11.0,0.6,0.55,23.95,0.5,7.634999999999991,310.195,317.83,19.995000000000005,-0.7802587462577236,-0.7359983607874852,0.15996243827183032,14.082703973285911,1.0
9,19.0,6.0,11.0,0.5,0.475,24.4,0.5,7.295000000000016,310.7,317.995,20.975000000000023,-0.6103243384768933,-0.9203038725576973,0.16805113894097778,14.87524650527084,1.0
8,19.0,6.0,11.0,0.5,0.475,24.25,0.5,7.4150000000000205,310.58,317.995,20.69999999999999,-0.6635490179554863,-0.8751472653341829,0.16805113894097778,14.66859397871988,1.0
